Time resolution is 1 ps
Time=0, HSync=x, VSync=x, R=000x, G=0000, B=0000
Time=1408655, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1408705, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1408755, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1408805, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1408855, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1408905, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1408955, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1409005, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1409055, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1409105, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1409155, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1409205, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1409255, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1409305, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1409355, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1409405, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1409455, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1409505, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1409555, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1409605, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1409655, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1409705, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1409755, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1409805, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1409855, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1409905, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1409955, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1410005, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1410055, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1410105, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1410155, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1410205, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1410255, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1410305, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1410355, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1410405, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1410455, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1410505, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1410555, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1410605, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1410655, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1410705, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1410755, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1410805, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1410855, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1410905, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1410955, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1411005, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1411055, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1411105, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1411155, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1411205, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1411255, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1411305, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1411355, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1411405, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1411455, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1411505, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1411555, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1411605, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1411655, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1411705, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1411755, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1411805, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1411855, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1411905, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1411955, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1412005, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1412055, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1412105, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1412155, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1412205, HSync=1, VSync=1, R=0000, G=1111, B=0000
